seq,tx_ts,rx_ts,latency_ns
325,1763689448856191324,1763689448856109851,-81473
326,1763689448857251103,1763689448857168807,-82296
327,1763689448858310864,1763689448858229263,-81601
328,1763689448859371681,1763689448859290422,-81259
329,1763689448860431461,1763689448860348952,-82509
330,1763689448861491185,1763689448861408575,-82610
331,1763689448862551946,1763689448862469864,-82082
332,1763689448863611800,1763689448863530116,-81684
333,1763689448864671542,1763689448864589017,-82525
334,1763689448865731414,1763689448865648695,-82719
335,1763689448866791824,1763689448866715984,-75840
336,1763689448867851511,1763689448867770495,-81016
337,1763689448868911272,1763689448868828766,-82506
338,1763689448869970959,1763689448869888796,-82163
339,1763689448871031590,1763689448870949548,-82042
340,1763689448872091370,1763689448872010930,-80440
341,1763689448873151001,1763689448873069071,-81930
342,1763689448874210892,1763689448874128638,-82254
343,1763689448875271616,1763689448875190242,-81374
344,1763689448876331433,1763689448876249087,-82346
345,1763689448877391064,1763689448877308524,-82540
346,1763689448878451844,1763689448878369721,-82123
347,1763689448879511624,1763689448879430621,-81003
348,1763689448880571311,1763689448880489559,-81752
349,1763689448881630905,1763689448881548589,-82316
350,1763689448882691592,1763689448882609674,-81918
351,1763689448883751446,1763689448883669741,-81705
352,1763689448884811244,1763689448884728753,-82491
353,1763689448885871005,1763689448885789338,-81667
354,1763689448886931822,1763689448886849998,-81824
355,1763689448887991546,1763689448887910083,-81463
356,1763689448889051233,1763689448888968669,-82564
357,1763689448890110920,1763689448890028643,-82277
358,1763689448891171626,1763689448891090784,-80842
359,1763689448892231442,1763689448892150185,-81257
360,1763689448893291333,1763689448893208696,-82637
361,1763689448894351113,1763689448894269411,-81702
362,1763689448895411800,1763689448895331663,-80137
363,1763689448896471561,1763689448896389767,-81794
364,1763689448897531340,1763689448897449057,-82283
365,1763689448898592102,1763689448898509901,-82201
366,1763689448899651900,1763689448899571228,-80672
367,1763689448900711642,1763689448900629350,-82292
368,1763689448901771329,1763689448901688788,-82541
369,1763689448902832090,1763689448902749595,-82495
370,1763689448903891852,1763689448903810514,-81338
371,1763689448904951594,1763689448904869007,-82587
372,1763689448906011226,1763689448905928871,-82355
373,1763689448907071894,1763689448906989789,-82105
374,1763689448908131674,1763689448908051319,-80355
375,1763689448909191416,1763689448909109220,-82196
376,1763689448910251066,1763689448910171435,-79631
377,1763689448911311846,1763689448911230669,-81177
378,1763689448912371737,1763689448912289402,-82335
379,1763689448913431516,1763689448913349932,-81584
380,1763689448914492333,1763689448914410018,-82315
381,1763689448915552187,1763689448915470566,-81621
382,1763689448916611911,1763689448916529281,-82630
383,1763689448917671135,1763689448917588700,-82435
384,1763689448918731896,1763689448918649730,-82166
385,1763689448919791639,1763689448919709964,-81675
386,1763689448920851307,1763689448920769049,-82258
387,1763689448921911013,1763689448921829265,-81748
388,1763689448922971811,1763689448922890757,-81054
389,1763689448924031646,1763689448923950473,-81173
390,1763689448925091574,1763689448925009169,-82405
391,1763689448926151446,1763689448926068940,-82506
392,1763689448927212096,1763689448927133174,-78922
393,1763689448928271987,1763689448928190722,-81265
394,1763689448929331822,1763689448929249400,-82422
395,1763689448930392528,1763689448930310282,-82246
396,1763689448931452326,1763689448931370775,-81551
397,1763689448932512105,1763689448932429601,-82504
398,1763689448933571718,1763689448933489298,-82420
399,1763689448934632405,1763689448934549995,-82410
400,1763689448935692185,1763689448935611673,-80512
401,1763689448936751835,1763689448936669777,-82058
